date,basket_type,item_name,scraped_name,brand,store,price,unit_size,unit_value,unit_unit,grams_total,price_per_100g,price_per_unit,source_file
2020-02-01,Healthy,Apples,Gala Apples Bag,Fresh,Walmart,4.39,3 lb bag,3.0,lb,1360.7759999999998,0.3226100401535595,,raw_prices_202002.csv
2020-02-01,Healthy,Bananas,Fresh Bananas,Fresh,Walmart,0.59,1 lb,1.0,lb,453.592,0.1300728407908429,,raw_prices_202002.csv
2020-02-01,Healthy,Broccoli,Fresh Broccoli Crowns,Fresh,Walmart,1.74,1 lb,1.0,lb,453.592,0.3836046491119773,,raw_prices_202002.csv
2020-02-01,Healthy,Brown Rice,Great Value Long Grain Brown Rice,Great Value,Walmart,1.83,2 lb,2.0,lb,907.184,0.2017231344468156,,raw_prices_202002.csv
2020-02-01,Healthy,Carrots,Fresh Whole Carrots,Fresh,Walmart,1.24,2 lb bag,2.0,lb,907.184,0.1366867140513942,,raw_prices_202002.csv
2020-02-01,Healthy,Chickpeas (Dry),Great Value Garbanzo Beans,Great Value,Walmart,1.41,1 lb,1.0,lb,453.592,0.3108520432459126,,raw_prices_202002.csv
2020-02-01,Healthy,Greek Yogurt,Great Value Nonfat Plain Greek Yogurt,Great Value,Walmart,4.13,32 oz,32.0,oz,907.184,0.4552549427679501,,raw_prices_202002.csv
2020-02-01,Healthy,Lentils (Dry),Great Value Brown Lentils,Great Value,Walmart,1.35,1 lb,1.0,lb,453.592,0.29762429672481,,raw_prices_202002.csv
2020-02-01,Healthy,Oats,Great Value Old Fashioned Oats,Great Value,Walmart,3.28,42 oz,42.0,oz,1190.679,0.2754730704077253,,raw_prices_202002.csv
2020-02-01,Healthy,Olive Oil,Great Value Extra Virgin Olive Oil,Great Value,Walmart,5.76,16.9 oz,16.9,oz,479.10655,1.202237790320337,,raw_prices_202002.csv
2020-02-01,Healthy,Peanut Butter,Great Value Creamy Peanut Butter,Great Value,Walmart,1.63,16 oz,16.0,oz,453.592,0.3593537804899557,,raw_prices_202002.csv
2020-02-01,Healthy,Quinoa,Great Value Organic White Quinoa,Great Value,Walmart,4.83,12 oz,12.0,oz,340.194,1.419778126598353,,raw_prices_202002.csv
2020-02-01,Healthy,Spinach,Fresh Spinach Bag,Fresh,Walmart,2.19,10 oz bag,10.0,oz,283.495,0.7725003968323956,,raw_prices_202002.csv
2020-02-01,Healthy,Tofu,Nasoya Extra Firm Tofu,Nasoya,Walmart,2.41,14 oz,14.0,oz,396.893,0.6072165545877606,,raw_prices_202002.csv
2020-02-01,Healthy,Whole Wheat,Great Value 100% Whole Wheat Bread,Great Value,Walmart,2.43,20 oz,20.0,oz,566.99,0.4285789872837263,,raw_prices_202002.csv
2020-02-01,Neutral,Bananas,Fresh Bananas,Fresh,Walmart,0.62,1 lb,1.0,lb,453.592,0.1366867140513942,,raw_prices_202002.csv
2020-02-01,Neutral,Butter,Great Value Salted Butter Sticks,Great Value,Walmart,3.8,16 oz,16.0,oz,453.592,0.8377572796698355,,raw_prices_202002.csv
2020-02-01,Neutral,Canned Beans,Bush's Best Black Beans,Bush's Best,Walmart,1.44,15.5 oz can,15.5,oz,439.41725,0.3277067525228015,,raw_prices_202002.csv
2020-02-01,Neutral,Canned Corn,Del Monte Whole Kernel Corn,Del Monte,Walmart,1.25,15.25 oz can,15.25,oz,432.329875,0.2891310714995118,,raw_prices_202002.csv
2020-02-01,Neutral,Eggs,Great Value Large White Eggs,Great Value,Walmart,2.15,12 count,12.0,count,,,0.1791666666666666,raw_prices_202002.csv
2020-02-01,Neutral,Flour,Great Value All Purpose Flour,Great Value,Walmart,2.2,5 lb,5.0,lb,2267.96,0.0970034744880862,,raw_prices_202002.csv
2020-02-01,Neutral,Milk,Great Value 2% Reduced Fat Milk,Great Value,Walmart,3.12,1 gal,1.0,gal,,,,raw_prices_202002.csv
2020-02-01,Neutral,Onions,Yellow Onions Bag,Fresh,Walmart,2.91,3 lb bag,3.0,lb,1360.7759999999998,0.2138485687578264,,raw_prices_202002.csv
2020-02-01,Neutral,Pasta,Barilla Spaghetti Pasta,Barilla,Walmart,1.5,16 oz,16.0,oz,453.592,0.3306936630275666,,raw_prices_202002.csv
2020-02-01,Neutral,Potatoes,Russet Potatoes Bag,Fresh,Walmart,4.86,5 lb bag,5.0,lb,2267.96,0.2142894936418631,,raw_prices_202002.csv
2020-02-01,Neutral,Snack Crackers,Ritz Original Crackers,Ritz,Walmart,3.57,13.7 oz,13.7,oz,388.38815,0.9191835538751634,,raw_prices_202002.csv
2020-02-01,Neutral,Sugar,Great Value Granulated Sugar,Great Value,Walmart,2.8,4 lb,4.0,lb,1814.368,0.1543237094128644,,raw_prices_202002.csv
2020-02-01,Neutral,Tomato Sauce,Great Value Traditional Pasta Sauce,Great Value,Walmart,1.14,24 oz,24.0,oz,680.3879999999999,0.1675514559339671,,raw_prices_202002.csv
2020-02-01,Neutral,Tortillas,Mission Flour Tortillas,Mission,Walmart,2.85,10 count,10.0,count,,,0.285,raw_prices_202002.csv
2020-02-01,Neutral,White Rice,Great Value Long Grain White Rice,Great Value,Walmart,1.99,2 lb,2.0,lb,907.184,0.2193601298082858,,raw_prices_202002.csv
2020-02-01,UltraProcessed,Candy,Skittles Original Candy Bag,Skittles,Walmart,2.09,9 oz,9.0,oz,255.1455,0.8191404512327279,,raw_prices_202002.csv
2020-02-01,UltraProcessed,Chicken Nuggets,Tyson Fully Cooked Chicken Nuggets,Tyson,Walmart,7.5,32 oz,32.0,oz,907.184,0.8267341575689166,,raw_prices_202002.csv
2020-02-01,UltraProcessed,Chips,Lay's Classic Potato Chips,Lay's,Walmart,3.47,8 oz,8.0,oz,226.796,1.5300093476075418,,raw_prices_202002.csv
2020-02-01,UltraProcessed,Chocolate Cookies,Oreo Original Chocolate Sandwich Cookies,Oreo,Walmart,4.28,14.3 oz,14.3,oz,405.39785,1.0557530090502454,,raw_prices_202002.csv
2020-02-01,UltraProcessed,Energy Drink,Monster Energy Original,Monster,Walmart,2.32,16 fl oz,16.0,fl oz,473.12,0.4903618532296245,,raw_prices_202002.csv
2020-02-01,UltraProcessed,Frozen Pizza,Great Value Pepperoni Frozen Pizza,Great Value,Walmart,3.85,12 in,12.0,in,,,,raw_prices_202002.csv
2020-02-01,UltraProcessed,Hot Dogs,Bar-S Classic Franks,Bar-S,Walmart,1.15,12 oz,12.0,oz,340.194,0.3380424110948459,,raw_prices_202002.csv
2020-02-01,UltraProcessed,Ice Cream,Great Value Vanilla Ice Cream,Great Value,Walmart,3.22,48 oz,48.0,oz,1360.7759999999998,0.2366296877663921,,raw_prices_202002.csv
2020-02-01,UltraProcessed,Instant Noodles,Maruchan Chicken Ramen Noodle Soup,Maruchan,Walmart,2.75,12 pack,12.0,count,,,0.2291666666666666,raw_prices_202002.csv
2020-02-01,UltraProcessed,Mac and Cheese,Kraft Macaroni and Cheese Dinner,Kraft,Walmart,4.36,5 pack,5.0,count,,,0.8720000000000001,raw_prices_202002.csv
2020-02-01,UltraProcessed,Microwave Popcorn,Orville Redenbacher's Movie Theater Popcorn,Orville Redenbacher's,Walmart,3.97,6 pack,6.0,count,,,0.6616666666666667,raw_prices_202002.csv
2020-02-01,UltraProcessed,Processed Cheese Slice,Kraft Singles American Cheese Slices,Kraft,Walmart,4.5,16 slices,16.0,slices,,,,raw_prices_202002.csv
2020-02-01,UltraProcessed,Soda,Coca-Cola Original Soda,Coca-Cola,Walmart,2.2,2 L,2.0,l,2000.0,0.11,,raw_prices_202002.csv
2020-02-01,UltraProcessed,Sugary Cereal,Kellogg's Froot Loops Cereal,Kellogg's,Walmart,4.21,19.4 oz,19.4,oz,549.9802999999999,0.7654819636266973,,raw_prices_202002.csv
2020-02-01,UltraProcessed,White Bread,Wonder Classic White Bread,Wonder,Walmart,2.48,20 oz,20.0,oz,566.99,0.4373974849644614,,raw_prices_202002.csv
2020-03-01,Healthy,Apples,Gala Apples Bag,Fresh,Walmart,4.33,3 lb bag,3.0,lb,1360.7759999999998,0.3182007913131919,,raw_prices_202003.csv
2020-03-01,Healthy,Bananas,Fresh Bananas,Fresh,Walmart,0.6,1 lb,1.0,lb,453.592,0.1322774652110266,,raw_prices_202003.csv
2020-03-01,Healthy,Broccoli,Fresh Broccoli Crowns,Fresh,Walmart,1.8,1 lb,1.0,lb,453.592,0.3968323956330799,,raw_prices_202003.csv
2020-03-01,Healthy,Brown Rice,Great Value Long Grain Brown Rice,Great Value,Walmart,1.85,2 lb,2.0,lb,907.184,0.2039277588669994,,raw_prices_202003.csv
2020-03-01,Healthy,Carrots,Fresh Whole Carrots,Fresh,Walmart,1.26,2 lb bag,2.0,lb,907.184,0.138891338471578,,raw_prices_202003.csv
2020-03-01,Healthy,Chickpeas (Dry),Great Value Garbanzo Beans,Great Value,Walmart,1.38,1 lb,1.0,lb,453.592,0.3042381699853613,,raw_prices_202003.csv
2020-03-01,Healthy,Greek Yogurt,Great Value Nonfat Plain Greek Yogurt,Great Value,Walmart,4.1,32 oz,32.0,oz,907.184,0.4519480061376743,,raw_prices_202003.csv
2020-03-01,Healthy,Lentils (Dry),Great Value Brown Lentils,Great Value,Walmart,1.37,1 lb,1.0,lb,453.592,0.3020335455651775,,raw_prices_202003.csv
2020-03-01,Healthy,Oats,Great Value Old Fashioned Oats,Great Value,Walmart,3.29,42 oz,42.0,oz,1190.679,0.2763129273297001,,raw_prices_202003.csv
2020-03-01,Healthy,Olive Oil,Great Value Extra Virgin Olive Oil,Great Value,Walmart,5.79,16.9 oz,16.9,oz,479.10655,1.2084994454782554,,raw_prices_202003.csv
2020-03-01,Healthy,Peanut Butter,Great Value Creamy Peanut Butter,Great Value,Walmart,1.63,16 oz,16.0,oz,453.592,0.3593537804899557,,raw_prices_202003.csv
2020-03-01,Healthy,Quinoa,Great Value Organic White Quinoa,Great Value,Walmart,4.82,12 oz,12.0,oz,340.194,1.4168386273714413,,raw_prices_202003.csv
2020-03-01,Healthy,Spinach,Fresh Spinach Bag,Fresh,Walmart,2.22,10 oz bag,10.0,oz,283.495,0.7830825940492778,,raw_prices_202003.csv
2020-03-01,Healthy,Tofu,Nasoya Extra Firm Tofu,Nasoya,Walmart,2.39,14 oz,14.0,oz,396.893,0.6021774130559119,,raw_prices_202003.csv
2020-03-01,Healthy,Whole Wheat,Great Value 100% Whole Wheat Bread,Great Value,Walmart,2.45,20 oz,20.0,oz,566.99,0.4321063863560204,,raw_prices_202003.csv
2020-03-01,Neutral,Bananas,Fresh Bananas,Fresh,Walmart,0.61,1 lb,1.0,lb,453.592,0.1344820896312104,,raw_prices_202003.csv
2020-03-01,Neutral,Butter,Great Value Salted Butter Sticks,Great Value,Walmart,3.9,16 oz,16.0,oz,453.592,0.8598035238716732,,raw_prices_202003.csv
2020-03-01,Neutral,Canned Beans,Bush's Best Black Beans,Bush's Best,Walmart,1.46,15.5 oz can,15.5,oz,439.41725,0.3322582351967293,,raw_prices_202003.csv
2020-03-01,Neutral,Canned Corn,Del Monte Whole Kernel Corn,Del Monte,Walmart,1.24,15.25 oz can,15.25,oz,432.329875,0.2868180229275157,,raw_prices_202003.csv
2020-03-01,Neutral,Eggs,Great Value Large White Eggs,Great Value,Walmart,2.15,12 count,12.0,count,,,0.1791666666666666,raw_prices_202003.csv
2020-03-01,Neutral,Flour,Great Value All Purpose Flour,Great Value,Walmart,2.18,5 lb,5.0,lb,2267.96,0.0961216247200127,,raw_prices_202003.csv
2020-03-01,Neutral,Milk,Great Value 2% Reduced Fat Milk,Great Value,Walmart,3.04,1 gal,1.0,gal,,,,raw_prices_202003.csv
2020-03-01,Neutral,Onions,Yellow Onions Bag,Fresh,Walmart,2.83,3 lb bag,3.0,lb,1360.7759999999998,0.207969570304003,,raw_prices_202003.csv
2020-03-01,Neutral,Pasta,Barilla Spaghetti Pasta,Barilla,Walmart,1.45,16 oz,16.0,oz,453.592,0.3196705409266477,,raw_prices_202003.csv
2020-03-01,Neutral,Potatoes,Russet Potatoes Bag,Fresh,Walmart,4.94,5 lb bag,5.0,lb,2267.96,0.2178168927141572,,raw_prices_202003.csv
2020-03-01,Neutral,Snack Crackers,Ritz Original Crackers,Ritz,Walmart,3.56,13.7 oz,13.7,oz,388.38815,0.9166088100267736,,raw_prices_202003.csv
2020-03-01,Neutral,Sugar,Great Value Granulated Sugar,Great Value,Walmart,2.79,4 lb,4.0,lb,1814.368,0.1537725533078185,,raw_prices_202003.csv
2020-03-01,Neutral,Tomato Sauce,Great Value Traditional Pasta Sauce,Great Value,Walmart,1.16,24 oz,24.0,oz,680.3879999999999,0.1704909551608788,,raw_prices_202003.csv
2020-03-01,Neutral,Tortillas,Mission Flour Tortillas,Mission,Walmart,2.87,10 count,10.0,count,,,0.287,raw_prices_202003.csv
2020-03-01,Neutral,White Rice,Great Value Long Grain White Rice,Great Value,Walmart,1.94,2 lb,2.0,lb,907.184,0.2138485687578264,,raw_prices_202003.csv
2020-03-01,UltraProcessed,Candy,Skittles Original Candy Bag,Skittles,Walmart,2.05,9 oz,9.0,oz,255.1455,0.8034631220225321,,raw_prices_202003.csv
2020-03-01,UltraProcessed,Chicken Nuggets,Tyson Fully Cooked Chicken Nuggets,Tyson,Walmart,7.38,32 oz,32.0,oz,907.184,0.813506411047814,,raw_prices_202003.csv
2020-03-01,UltraProcessed,Chips,Lay's Classic Potato Chips,Lay's,Walmart,3.49,8 oz,8.0,oz,226.796,1.5388278452882769,,raw_prices_202003.csv
2020-03-01,UltraProcessed,Chocolate Cookies,Oreo Original Chocolate Sandwich Cookies,Oreo,Walmart,4.29,14.3 oz,14.3,oz,405.39785,1.0582197216882132,,raw_prices_202003.csv
2020-03-01,UltraProcessed,Energy Drink,Monster Energy Original,Monster,Walmart,2.33,16 fl oz,16.0,fl oz,473.12,0.4924754819073385,,raw_prices_202003.csv
2020-03-01,UltraProcessed,Frozen Pizza,Great Value Pepperoni Frozen Pizza,Great Value,Walmart,3.82,12 in,12.0,in,,,,raw_prices_202003.csv
2020-03-01,UltraProcessed,Hot Dogs,Bar-S Classic Franks,Bar-S,Walmart,1.15,12 oz,12.0,oz,340.194,0.3380424110948459,,raw_prices_202003.csv
2020-03-01,UltraProcessed,Ice Cream,Great Value Vanilla Ice Cream,Great Value,Walmart,3.22,48 oz,48.0,oz,1360.7759999999998,0.2366296877663921,,raw_prices_202003.csv
2020-03-01,UltraProcessed,Instant Noodles,Maruchan Chicken Ramen Noodle Soup,Maruchan,Walmart,2.8,12 pack,12.0,count,,,0.2333333333333333,raw_prices_202003.csv
2020-03-01,UltraProcessed,Mac and Cheese,Kraft Macaroni and Cheese Dinner,Kraft,Walmart,4.35,5 pack,5.0,count,,,0.8699999999999999,raw_prices_202003.csv
2020-03-01,UltraProcessed,Microwave Popcorn,Orville Redenbacher's Movie Theater Popcorn,Orville Redenbacher's,Walmart,4.01,6 pack,6.0,count,,,0.6683333333333333,raw_prices_202003.csv
2020-03-01,UltraProcessed,Processed Cheese Slice,Kraft Singles American Cheese Slices,Kraft,Walmart,4.46,16 slices,16.0,slices,,,,raw_prices_202003.csv
2020-03-01,UltraProcessed,Soda,Coca-Cola Original Soda,Coca-Cola,Walmart,2.19,2 L,2.0,l,2000.0,0.1095,,raw_prices_202003.csv
2020-03-01,UltraProcessed,Sugary Cereal,Kellogg's Froot Loops Cereal,Kellogg's,Walmart,4.14,19.4 oz,19.4,oz,549.9802999999999,0.7527542350153269,,raw_prices_202003.csv
2020-03-01,UltraProcessed,White Bread,Wonder Classic White Bread,Wonder,Walmart,2.48,20 oz,20.0,oz,566.99,0.4373974849644614,,raw_prices_202003.csv
2020-04-01,Healthy,Apples,Gala Apples Bag,Fresh,Walmart,4.31,3 lb bag,3.0,lb,1360.7759999999998,0.316731041699736,,raw_prices_202004.csv
2020-04-01,Healthy,Bananas,Fresh Bananas,Fresh,Walmart,0.58,1 lb,1.0,lb,453.592,0.1278682163706591,,raw_prices_202004.csv
2020-04-01,Healthy,Broccoli,Fresh Broccoli Crowns,Fresh,Walmart,1.8,1 lb,1.0,lb,453.592,0.3968323956330799,,raw_prices_202004.csv
2020-04-01,Healthy,Brown Rice,Great Value Long Grain Brown Rice,Great Value,Walmart,1.84,2 lb,2.0,lb,907.184,0.2028254466569075,,raw_prices_202004.csv
2020-04-01,Healthy,Carrots,Fresh Whole Carrots,Fresh,Walmart,1.26,2 lb bag,2.0,lb,907.184,0.138891338471578,,raw_prices_202004.csv
2020-04-01,Healthy,Chickpeas (Dry),Great Value Garbanzo Beans,Great Value,Walmart,1.39,1 lb,1.0,lb,453.592,0.306442794405545,,raw_prices_202004.csv
2020-04-01,Healthy,Greek Yogurt,Great Value Nonfat Plain Greek Yogurt,Great Value,Walmart,4.19,32 oz,32.0,oz,907.184,0.4618688160285014,,raw_prices_202004.csv
2020-04-01,Healthy,Lentils (Dry),Great Value Brown Lentils,Great Value,Walmart,1.39,1 lb,1.0,lb,453.592,0.306442794405545,,raw_prices_202004.csv
2020-04-01,Healthy,Oats,Great Value Old Fashioned Oats,Great Value,Walmart,3.34,42 oz,42.0,oz,1190.679,0.280512211939574,,raw_prices_202004.csv
2020-04-01,Healthy,Olive Oil,Great Value Extra Virgin Olive Oil,Great Value,Walmart,5.74,16.9 oz,16.9,oz,479.10655,1.198063353548391,,raw_prices_202004.csv
2020-04-01,Healthy,Peanut Butter,Great Value Creamy Peanut Butter,Great Value,Walmart,1.65,16 oz,16.0,oz,453.592,0.3637630293303233,,raw_prices_202004.csv
2020-04-01,Healthy,Quinoa,Great Value Organic White Quinoa,Great Value,Walmart,4.87,12 oz,12.0,oz,340.194,1.4315361235059998,,raw_prices_202004.csv
2020-04-01,Healthy,Spinach,Fresh Spinach Bag,Fresh,Walmart,2.22,10 oz bag,10.0,oz,283.495,0.7830825940492778,,raw_prices_202004.csv
2020-04-01,Healthy,Tofu,Nasoya Extra Firm Tofu,Nasoya,Walmart,2.39,14 oz,14.0,oz,396.893,0.6021774130559119,,raw_prices_202004.csv
2020-04-01,Healthy,Whole Wheat,Great Value 100% Whole Wheat Bread,Great Value,Walmart,2.47,20 oz,20.0,oz,566.99,0.4356337854283144,,raw_prices_202004.csv
2020-04-01,Neutral,Bananas,Fresh Bananas,Fresh,Walmart,0.62,1 lb,1.0,lb,453.592,0.1366867140513942,,raw_prices_202004.csv
2020-04-01,Neutral,Butter,Great Value Salted Butter Sticks,Great Value,Walmart,3.93,16 oz,16.0,oz,453.592,0.8664173971322245,,raw_prices_202004.csv
2020-04-01,Neutral,Canned Beans,Bush's Best Black Beans,Bush's Best,Walmart,1.47,15.5 oz can,15.5,oz,439.41725,0.3345339765336932,,raw_prices_202004.csv
2020-04-01,Neutral,Canned Corn,Del Monte Whole Kernel Corn,Del Monte,Walmart,1.25,15.25 oz can,15.25,oz,432.329875,0.2891310714995118,,raw_prices_202004.csv
2020-04-01,Neutral,Eggs,Great Value Large White Eggs,Great Value,Walmart,2.18,12 count,12.0,count,,,0.1816666666666666,raw_prices_202004.csv
2020-04-01,Neutral,Flour,Great Value All Purpose Flour,Great Value,Walmart,2.18,5 lb,5.0,lb,2267.96,0.0961216247200127,,raw_prices_202004.csv
2020-04-01,Neutral,Milk,Great Value 2% Reduced Fat Milk,Great Value,Walmart,3.11,1 gal,1.0,gal,,,,raw_prices_202004.csv
2020-04-01,Neutral,Onions,Yellow Onions Bag,Fresh,Walmart,2.86,3 lb bag,3.0,lb,1360.7759999999998,0.2101741947241868,,raw_prices_202004.csv
2020-04-01,Neutral,Pasta,Barilla Spaghetti Pasta,Barilla,Walmart,1.49,16 oz,16.0,oz,453.592,0.3284890386073829,,raw_prices_202004.csv
2020-04-01,Neutral,Potatoes,Russet Potatoes Bag,Fresh,Walmart,4.84,5 lb bag,5.0,lb,2267.96,0.2134076438737896,,raw_prices_202004.csv
2020-04-01,Neutral,Snack Crackers,Ritz Original Crackers,Ritz,Walmart,3.54,13.7 oz,13.7,oz,388.38815,0.911459322329994,,raw_prices_202004.csv
