date,basket_type,item_name,item_cost_in_basket,prev_item_cost,cost_change_abs,cost_change_pct
2020-07-01,Healthy,Brown Rice,3.74,3.7,0.040000000000000036,1.081081081081082
2020-07-01,Healthy,Chickpeas (Dry),1.42,1.4,0.020000000000000018,1.42857142857143
2020-07-01,Healthy,Oats,3.28,3.26,0.020000000000000018,0.6134969325153381
2020-07-01,Healthy,Lentils (Dry),1.4,1.39,0.010000000000000009,0.7194244604316554
2020-07-01,Healthy,Whole Wheat,2.44,2.43,0.009999999999999787,0.41152263374484715
2020-07-01,Healthy,Broccoli,3.58,3.58,0.0,0.0
2020-07-01,Healthy,Spinach,2.23,2.23,0.0,0.0
2020-07-01,Healthy,Tofu,33.879999999999995,33.879999999999995,0.0,0.0
2020-07-01,Healthy,Greek Yogurt,132.16,132.16,0.0,0.0
2020-07-01,Healthy,Bananas,3.5999999999999996,3.5999999999999996,0.0,0.0
2020-07-01,Healthy,Carrots,2.5,2.56,-0.06000000000000005,-2.343750000000002
2020-07-01,Healthy,Quinoa,4.83,4.93,-0.09999999999999964,-2.028397565922914
2020-07-01,Healthy,Peanut Butter,25.6,26.56,-0.9599999999999973,-3.6144578313252915
2020-08-01,Healthy,Apples,26.58,25.98,0.5999999999999979,2.3094688221708926
2020-08-01,Healthy,Peanut Butter,25.92,25.6,0.3200000000000003,1.250000000000001
2020-08-01,Healthy,Olive Oil,92.48,92.32,0.1600000000000108,0.17331022530330462
2020-08-01,Healthy,Whole Wheat,2.48,2.44,0.040000000000000036,1.6393442622950833
2020-08-01,Healthy,Broccoli,3.6,3.58,0.020000000000000018,0.5586592178770954
2020-08-01,Healthy,Carrots,2.52,2.5,0.020000000000000018,0.8000000000000007
2020-08-01,Healthy,Brown Rice,3.76,3.74,0.019999999999999574,0.5347593582887586
2020-08-01,Healthy,Spinach,2.24,2.23,0.010000000000000231,0.448430493273553
2020-08-01,Healthy,Bananas,3.5999999999999996,3.5999999999999996,0.0,0.0
2020-08-01,Healthy,Chickpeas (Dry),1.4,1.42,-0.020000000000000018,-1.4084507042253533
2020-08-01,Healthy,Lentils (Dry),1.38,1.4,-0.020000000000000018,-1.42857142857143
2020-08-01,Healthy,Quinoa,4.81,4.83,-0.020000000000000462,-0.41407867494824974
2020-08-01,Healthy,Oats,3.25,3.28,-0.029999999999999805,-0.9146341463414575
2020-08-01,Healthy,Tofu,32.9,33.879999999999995,-0.9799999999999969,-2.8925619834710656
2020-08-01,Healthy,Greek Yogurt,130.88,132.16,-1.2800000000000011,-0.9685230024213084
2020-09-01,Healthy,Greek Yogurt,134.08,130.88,3.200000000000017,2.4449877750611377
2020-09-01,Healthy,Tofu,33.879999999999995,32.9,0.9799999999999969,2.97872340425531
2020-09-01,Healthy,Peanut Butter,26.4,25.92,0.4799999999999969,1.8518518518518396
2020-09-01,Healthy,Oats,3.31,3.25,0.06000000000000005,1.8461538461538478
2020-09-01,Healthy,Brown Rice,3.78,3.76,0.020000000000000018,0.5319148936170218
2020-09-01,Healthy,Chickpeas (Dry),1.41,1.4,0.010000000000000009,0.714285714285715
2020-09-01,Healthy,Lentils (Dry),1.38,1.38,0.0,0.0
2020-09-01,Healthy,Quinoa,4.8,4.81,-0.009999999999999787,-0.2079002079002035
2020-09-01,Healthy,Broccoli,3.58,3.6,-0.020000000000000018,-0.555555555555556
2020-09-01,Healthy,Whole Wheat,2.45,2.48,-0.029999999999999805,-1.209677419354831
2020-09-01,Healthy,Spinach,2.21,2.24,-0.03000000000000025,-1.3392857142857253
2020-09-01,Healthy,Carrots,2.48,2.52,-0.040000000000000036,-1.5873015873015885
2020-09-01,Healthy,Bananas,3.54,3.5999999999999996,-0.05999999999999961,-1.6666666666666559
2020-09-01,Healthy,Apples,26.46,26.58,-0.11999999999999744,-0.4514672686230152
2020-09-01,Healthy,Olive Oil,91.68,92.48,-0.7999999999999972,-0.8650519031141838
2020-10-01,Healthy,Olive Oil,92.16,91.68,0.47999999999998977,0.5235602094240727
2020-10-01,Healthy,Quinoa,4.89,4.8,0.08999999999999986,1.8749999999999971
2020-10-01,Healthy,Broccoli,3.6,3.58,0.020000000000000018,0.5586592178770954
2020-10-01,Healthy,Oats,3.33,3.31,0.020000000000000018,0.6042296072507558
2020-10-01,Healthy,Carrots,2.5,2.48,0.020000000000000018,0.8064516129032264
2020-10-01,Healthy,Whole Wheat,2.46,2.45,0.009999999999999787,0.40816326530611374
2020-10-01,Healthy,Spinach,2.21,2.21,0.0,0.0
2020-10-01,Healthy,Bananas,3.54,3.54,0.0,0.0
2020-10-01,Healthy,Chickpeas (Dry),1.4,1.41,-0.010000000000000009,-0.7092198581560291
2020-10-01,Healthy,Lentils (Dry),1.34,1.38,-0.039999999999999813,-2.898550724637668
2020-10-01,Healthy,Brown Rice,3.68,3.78,-0.09999999999999964,-2.6455026455026363
2020-10-01,Healthy,Tofu,33.74,33.879999999999995,-0.13999999999999346,-0.4132231404958485
2020-10-01,Healthy,Peanut Butter,26.24,26.4,-0.16000000000000014,-0.6060606060606066
2020-10-01,Healthy,Apples,26.22,26.46,-0.240000000000002,-0.9070294784580574
2020-10-01,Healthy,Greek Yogurt,132.16,134.08,-1.920000000000016,-1.4319809069212528
2020-11-01,Healthy,Apples,26.52,26.22,0.3000000000000007,1.1441647597254032
2020-11-01,Healthy,Brown Rice,3.76,3.68,0.07999999999999963,2.1739130434782505
2020-11-01,Healthy,Bananas,3.5999999999999996,3.54,0.05999999999999961,1.694915254237277
2020-11-01,Healthy,Lentils (Dry),1.39,1.34,0.04999999999999982,3.731343283582076
2020-11-01,Healthy,Chickpeas (Dry),1.43,1.4,0.030000000000000027,2.142857142857145
2020-11-01,Healthy,Carrots,2.52,2.5,0.020000000000000018,0.8000000000000007
2020-11-01,Healthy,Spinach,2.21,2.21,0.0,0.0
2020-11-01,Healthy,Greek Yogurt,132.16,132.16,0.0,0.0
2020-11-01,Healthy,Oats,3.32,3.33,-0.010000000000000231,-0.30030030030030724
2020-11-01,Healthy,Whole Wheat,2.43,2.46,-0.029999999999999805,-1.2195121951219432
2020-11-01,Healthy,Quinoa,4.83,4.89,-0.05999999999999961,-1.2269938650306669
2020-11-01,Healthy,Broccoli,3.54,3.6,-0.06000000000000005,-1.666666666666668
2020-11-01,Healthy,Peanut Butter,25.92,26.24,-0.31999999999999673,-1.2195121951219388
2020-11-01,Healthy,Tofu,33.32,33.74,-0.4200000000000017,-1.2448132780083037
2020-11-01,Healthy,Olive Oil,91.36,92.16,-0.7999999999999972,-0.8680555555555525
2020-12-01,Healthy,Olive Oil,93.92,91.36,2.5600000000000023,2.802101576182139
2020-12-01,Healthy,Tofu,33.6,33.32,0.28000000000000114,0.840336134453785
2020-12-01,Healthy,Peanut Butter,26.08,25.92,0.1599999999999966,0.6172839506172707
2020-12-01,Healthy,Spinach,2.23,2.21,0.020000000000000018,0.9049773755656116
2020-12-01,Healthy,Carrots,2.54,2.52,0.020000000000000018,0.7936507936507943
2020-12-01,Healthy,Lentils (Dry),1.4,1.39,0.010000000000000009,0.7194244604316554
2020-12-01,Healthy,Quinoa,4.83,4.83,0.0,0.0
2020-12-01,Healthy,Bananas,3.5999999999999996,3.5999999999999996,0.0,0.0
2020-12-01,Healthy,Chickpeas (Dry),1.41,1.43,-0.020000000000000018,-1.3986013986014
2020-12-01,Healthy,Broccoli,3.52,3.54,-0.020000000000000018,-0.56497175141243
2020-12-01,Healthy,Whole Wheat,2.41,2.43,-0.020000000000000018,-0.8230452674897125
2020-12-01,Healthy,Oats,3.26,3.32,-0.06000000000000005,-1.8072289156626522
2020-12-01,Healthy,Brown Rice,3.68,3.76,-0.07999999999999963,-2.1276595744680753
2020-12-01,Healthy,Greek Yogurt,131.52,132.16,-0.6399999999999864,-0.48426150121064343
2020-12-01,Healthy,Apples,25.56,26.52,-0.9600000000000009,-3.6199095022624466
2021-01-01,Healthy,Greek Yogurt,132.16,131.52,0.6399999999999864,0.48661800486616963
2021-01-01,Healthy,Tofu,33.879999999999995,33.6,0.27999999999999403,0.8333333333333155
2021-01-01,Healthy,Apples,25.799999999999997,25.56,0.23999999999999844,0.9389671361502286
2021-01-01,Healthy,Peanut Butter,26.24,26.08,0.16000000000000014,0.6134969325153381
2021-01-01,Healthy,Quinoa,4.92,4.83,0.08999999999999986,1.8633540372670776
2021-01-01,Healthy,Brown Rice,3.74,3.68,0.06000000000000005,1.630434782608697
2021-01-01,Healthy,Broccoli,3.58,3.52,0.06000000000000005,1.7045454545454561
2021-01-01,Healthy,Whole Wheat,2.46,2.41,0.04999999999999982,2.0746887966804906
2021-01-01,Healthy,Chickpeas (Dry),1.41,1.41,0.0,0.0
2021-01-01,Healthy,Oats,3.26,3.26,0.0,0.0
2021-01-01,Healthy,Bananas,3.5999999999999996,3.5999999999999996,0.0,0.0
2021-01-01,Healthy,Lentils (Dry),1.39,1.4,-0.010000000000000009,-0.714285714285715
2021-01-01,Healthy,Carrots,2.52,2.54,-0.020000000000000018,-0.7874015748031503
2021-01-01,Healthy,Spinach,2.19,2.23,-0.040000000000000036,-1.793721973094172
2021-01-01,Healthy,Olive Oil,91.36,93.92,-2.5600000000000023,-2.7257240204429327
2021-02-01,Healthy,Olive Oil,92.48,91.36,1.1200000000000045,1.2259194395796897
2021-02-01,Healthy,Apples,26.04,25.799999999999997,0.240000000000002,0.9302325581395426
2021-02-01,Healthy,Oats,3.28,3.26,0.020000000000000018,0.6134969325153381
2021-02-01,Healthy,Spinach,2.21,2.19,0.020000000000000018,0.9132420091324209
2021-02-01,Healthy,Chickpeas (Dry),1.42,1.41,0.010000000000000009,0.7092198581560291
2021-02-01,Healthy,Peanut Butter,26.24,26.24,0.0,0.0
2021-02-01,Healthy,Bananas,3.5999999999999996,3.5999999999999996,0.0,0.0
2021-02-01,Healthy,Carrots,2.52,2.52,0.0,0.0
2021-02-01,Healthy,Brown Rice,3.72,3.74,-0.020000000000000018,-0.5347593582887704
2021-02-01,Healthy,Whole Wheat,2.44,2.46,-0.020000000000000018,-0.8130081300813016
2021-02-01,Healthy,Lentils (Dry),1.36,1.39,-0.029999999999999805,-2.15827338129495
2021-02-01,Healthy,Broccoli,3.54,3.58,-0.040000000000000036,-1.1173184357541908
2021-02-01,Healthy,Quinoa,4.85,4.92,-0.07000000000000028,-1.4227642276422823
2021-02-01,Healthy,Tofu,33.74,33.879999999999995,-0.13999999999999346,-0.4132231404958485
2021-02-01,Healthy,Greek Yogurt,131.2,132.16,-0.960000000000008,-0.7263922518159867
2021-03-01,Healthy,Greek Yogurt,134.4,131.2,3.200000000000017,2.4390243902439157
2021-03-01,Healthy,Brown Rice,3.82,3.72,0.09999999999999964,2.688172043010743
2021-03-01,Healthy,Broccoli,3.62,3.54,0.08000000000000007,2.25988700564972
2021-03-01,Healthy,Oats,3.3,3.28,0.020000000000000018,0.6097560975609762
2021-03-01,Healthy,Lentils (Dry),1.38,1.36,0.019999999999999796,1.4705882352941024
2021-03-01,Healthy,Peanut Butter,26.24,26.24,0.0,0.0
2021-03-01,Healthy,Chickpeas (Dry),1.42,1.42,0.0,0.0
2021-03-01,Healthy,Bananas,3.5999999999999996,3.5999999999999996,0.0,0.0
2021-03-01,Healthy,Carrots,2.52,2.52,0.0,0.0
2021-03-01,Healthy,Spinach,2.2,2.21,-0.009999999999999787,-0.4524886877827958
2021-03-01,Healthy,Whole Wheat,2.43,2.44,-0.009999999999999787,-0.40983606557376173
2021-03-01,Healthy,Quinoa,4.74,4.85,-0.10999999999999943,-2.2680412371133905
2021-03-01,Healthy,Apples,25.92,26.04,-0.11999999999999744,-0.4608294930875478
2021-03-01,Healthy,Tofu,33.32,33.74,-0.4200000000000017,-1.2448132780083037
2021-03-01,Healthy,Olive Oil,92.0,92.48,-0.480000000000004,-0.5190311418685164
2021-04-01,Healthy,Tofu,33.6,33.32,0.28000000000000114,0.840336134453785
2021-04-01,Healthy,Olive Oil,92.16,92.0,0.1599999999999966,0.17391304347825717
2021-04-01,Healthy,Quinoa,4.81,4.74,0.0699999999999994,1.4767932489451348
2021-04-01,Healthy,Whole Wheat,2.48,2.43,0.04999999999999982,2.0576131687242727
2021-04-01,Healthy,Spinach,2.23,2.2,0.029999999999999805,1.3636363636363547
2021-04-01,Healthy,Lentils (Dry),1.39,1.38,0.010000000000000009,0.724637681159421
2021-04-01,Healthy,Chickpeas (Dry),1.42,1.42,0.0,0.0
2021-04-01,Healthy,Carrots,2.48,2.52,-0.040000000000000036,-1.5873015873015885
2021-04-01,Healthy,Bananas,3.54,3.5999999999999996,-0.05999999999999961,-1.6666666666666559
2021-04-01,Healthy,Broccoli,3.56,3.62,-0.06000000000000005,-1.657458563535913
2021-04-01,Healthy,Apples,25.86,25.92,-0.060000000000002274,-0.23148148148149023
2021-04-01,Healthy,Oats,3.22,3.3,-0.07999999999999963,-2.424242424242413
2021-04-01,Healthy,Brown Rice,3.68,3.82,-0.13999999999999968,-3.6649214659685785
2021-04-01,Healthy,Peanut Butter,25.92,26.24,-0.31999999999999673,-1.2195121951219388
2021-04-01,Healthy,Greek Yogurt,132.16,134.4,-2.240000000000009,-1.6666666666666732
2021-05-01,Healthy,Brown Rice,3.76,3.68,0.07999999999999963,2.1739130434782505
2021-05-01,Healthy,Quinoa,4.87,4.81,0.0600000000000005,1.247401247401258
2021-05-01,Healthy,Oats,3.27,3.22,0.04999999999999982,1.5527950310558951
2021-05-01,Healthy,Peanut Butter,25.92,25.92,0.0,0.0
2021-05-01,Healthy,Chickpeas (Dry),1.42,1.42,0.0,0.0
2021-05-01,Healthy,Broccoli,3.56,3.56,0.0,0.0
2021-05-01,Healthy,Bananas,3.54,3.54,0.0,0.0
2021-05-01,Healthy,Carrots,2.48,2.48,0.0,0.0
2021-05-01,Healthy,Lentils (Dry),1.39,1.39,0.0,0.0
2021-05-01,Healthy,Spinach,2.18,2.23,-0.04999999999999982,-2.242152466367705
2021-05-01,Healthy,Whole Wheat,2.41,2.48,-0.06999999999999984,-2.822580645161284
2021-05-01,Healthy,Apples,25.740000000000002,25.86,-0.11999999999999744,-0.4640371229698277
2021-05-01,Healthy,Olive Oil,92.0,92.16,-0.1599999999999966,-0.1736111111111074
2021-05-01,Healthy,Tofu,33.18,33.6,-0.4200000000000017,-1.250000000000005
2021-05-01,Healthy,Greek Yogurt,130.24,132.16,-1.9199999999999875,-1.4527845036319518
2021-06-01,Healthy,Greek Yogurt,134.08,130.24,3.8400000000000034,2.948402948402951
2021-06-01,Healthy,Tofu,33.74,33.18,0.5600000000000023,1.6877637130801755
2021-06-01,Healthy,Peanut Butter,26.24,25.92,0.31999999999999673,1.2345679012345552
2021-06-01,Healthy,Apples,25.98,25.740000000000002,0.23999999999999844,0.9324009324009264
2021-06-01,Healthy,Bananas,3.66,3.54,0.1200000000000001,3.3898305084745792
2021-06-01,Healthy,Whole Wheat,2.47,2.41,0.06000000000000005,2.4896265560165993
2021-06-01,Healthy,Oats,3.31,3.27,0.040000000000000036,1.2232415902140683
2021-06-01,Healthy,Spinach,2.22,2.18,0.040000000000000036,1.8348623853211024
2021-06-01,Healthy,Lentils (Dry),1.4,1.39,0.010000000000000009,0.7194244604316554
2021-06-01,Healthy,Brown Rice,3.76,3.76,0.0,0.0
2021-06-01,Healthy,Chickpeas (Dry),1.42,1.42,0.0,0.0
2021-06-01,Healthy,Carrots,2.48,2.48,0.0,0.0
2021-06-01,Healthy,Broccoli,3.54,3.56,-0.020000000000000018,-0.5617977528089892
2021-06-01,Healthy,Quinoa,4.81,4.87,-0.0600000000000005,-1.2320328542094556
2021-06-01,Healthy,Olive Oil,91.36,92.0,-0.6400000000000006,-0.6956521739130441
2021-07-01,Healthy,Olive Oil,91.68,91.36,0.3200000000000074,0.3502626970227752
2021-07-01,Healthy,Broccoli,3.56,3.54,0.020000000000000018,0.56497175141243
2021-07-01,Healthy,Quinoa,4.82,4.81,0.010000000000000675,0.20790020790022196
2021-07-01,Healthy,Whole Wheat,2.48,2.47,0.009999999999999787,0.40485829959513303
2021-07-01,Healthy,Spinach,2.22,2.22,0.0,0.0
2021-07-01,Healthy,Bananas,3.66,3.66,0.0,0.0
2021-07-01,Healthy,Carrots,2.48,2.48,0.0,0.0
2021-07-01,Healthy,Chickpeas (Dry),1.41,1.42,-0.010000000000000009,-0.7042253521126767
2021-07-01,Healthy,Lentils (Dry),1.39,1.4,-0.010000000000000009,-0.714285714285715
2021-07-01,Healthy,Oats,3.3,3.31,-0.010000000000000231,-0.3021148036253846
2021-07-01,Healthy,Brown Rice,3.7,3.76,-0.05999999999999961,-1.5957446808510536
2021-07-01,Healthy,Peanut Butter,26.08,26.24,-0.16000000000000014,-0.6097560975609762
2021-07-01,Healthy,Tofu,33.46,33.74,-0.28000000000000114,-0.8298755186722024
2021-07-01,Healthy,Apples,25.619999999999997,25.98,-0.360000000000003,-1.385681293302552
2021-07-01,Healthy,Greek Yogurt,133.44,134.08,-0.6400000000000148,-0.477326968973758
2021-08-01,Healthy,Greek Yogurt,134.08,133.44,0.6400000000000148,0.4796163069544475
2021-08-01,Healthy,Peanut Butter,26.56,26.08,0.4800000000000004,1.840490797546014
2021-08-01,Healthy,Apples,26.04,25.619999999999997,0.4200000000000017,1.6393442622950887
2021-08-01,Healthy,Broccoli,3.64,3.56,0.08000000000000007,2.247191011235957
2021-08-01,Healthy,Quinoa,4.84,4.82,0.019999999999999574,0.41493775933609073
2021-08-01,Healthy,Chickpeas (Dry),1.41,1.41,0.0,0.0
2021-08-01,Healthy,Lentils (Dry),1.39,1.39,0.0,0.0
2021-08-01,Healthy,Whole Wheat,2.47,2.48,-0.009999999999999787,-0.40322580645160433
2021-08-01,Healthy,Spinach,2.21,2.22,-0.010000000000000231,-0.45045045045046084
2021-08-01,Healthy,Carrots,2.46,2.48,-0.020000000000000018,-0.8064516129032264
2021-08-01,Healthy,Brown Rice,3.66,3.7,-0.040000000000000036,-1.081081081081082
2021-08-01,Healthy,Oats,3.26,3.3,-0.040000000000000036,-1.2121212121212133
2021-08-01,Healthy,Bananas,3.5999999999999996,3.66,-0.0600000000000005,-1.6393442622950956
2021-08-01,Healthy,Olive Oil,91.52,91.68,-0.1600000000000108,-0.1745200698080397
2021-08-01,Healthy,Tofu,33.18,33.46,-0.28000000000000114,-0.8368200836820118
2021-09-01,Healthy,Olive Oil,92.8,91.52,1.2800000000000011,1.3986013986014
2021-09-01,Healthy,Tofu,33.74,33.18,0.5600000000000023,1.6877637130801755
2021-09-01,Healthy,Quinoa,4.98,4.84,0.14000000000000057,2.892561983471086
2021-09-01,Healthy,Brown Rice,3.72,3.66,0.06000000000000005,1.6393442622950833
2021-09-01,Healthy,Oats,3.28,3.26,0.020000000000000018,0.6134969325153381
2021-09-01,Healthy,Spinach,2.23,2.21,0.020000000000000018,0.9049773755656116
2021-09-01,Healthy,Carrots,2.48,2.46,0.020000000000000018,0.8130081300813016
2021-09-01,Healthy,Lentils (Dry),1.4,1.39,0.010000000000000009,0.7194244604316554
2021-09-01,Healthy,Apples,26.04,26.04,0.0,0.0
2021-09-01,Healthy,Whole Wheat,2.47,2.47,0.0,0.0
2021-09-01,Healthy,Chickpeas (Dry),1.4,1.41,-0.010000000000000009,-0.7092198581560291
2021-09-01,Healthy,Bananas,3.54,3.5999999999999996,-0.05999999999999961,-1.6666666666666559
2021-09-01,Healthy,Broccoli,3.54,3.64,-0.10000000000000009,-2.7472527472527495
2021-09-01,Healthy,Peanut Butter,26.24,26.56,-0.3200000000000003,-1.204819277108435
2021-09-01,Healthy,Greek Yogurt,130.56,134.08,-3.5200000000000102,-2.625298329355616
2021-10-01,Healthy,Greek Yogurt,133.44,130.56,2.8799999999999955,2.2058823529411726
2021-10-01,Healthy,Olive Oil,92.96,92.8,0.1599999999999966,0.1724137931034446
2021-10-01,Healthy,Bananas,3.5999999999999996,3.54,0.05999999999999961,1.694915254237277
2021-10-01,Healthy,Broccoli,3.58,3.54,0.040000000000000036,1.12994350282486
2021-10-01,Healthy,Carrots,2.52,2.48,0.040000000000000036,1.6129032258064528
2021-10-01,Healthy,Lentils (Dry),1.41,1.4,0.010000000000000009,0.714285714285715
2021-10-01,Healthy,Brown Rice,3.72,3.72,0.0,0.0
2021-10-01,Healthy,Peanut Butter,26.24,26.24,0.0,0.0
2021-10-01,Healthy,Apples,26.04,26.04,0.0,0.0
2021-10-01,Healthy,Chickpeas (Dry),1.4,1.4,0.0,0.0
2021-10-01,Healthy,Whole Wheat,2.47,2.47,0.0,0.0
2021-10-01,Healthy,Tofu,33.74,33.74,0.0,0.0
2021-10-01,Healthy,Oats,3.23,3.28,-0.04999999999999982,-1.5243902439024337
2021-10-01,Healthy,Spinach,2.18,2.23,-0.04999999999999982,-2.242152466367705
2021-10-01,Healthy,Quinoa,4.88,4.98,-0.10000000000000053,-2.0080321285140665
2021-11-01,Healthy,Greek Yogurt,134.72,133.44,1.2800000000000011,0.9592326139088737
